Date,Time,Open,High,Low,Close,Tick.Vol,Volume,Spread
2024.02.16,17:25:00,1.07677,1.07712,1.07659,1.07673,1135,0,0
2024.02.16,17:30:00,1.07672,1.07678,1.07646,1.07666,1064,0,0
2024.02.16,17:35:00,1.07666,1.07716,1.0766,1.07712,848,0,0
2024.02.16,17:40:00,1.07712,1.07771,1.07706,1.07758,934,0,0
2024.02.16,17:45:00,1.07759,1.07761,1.07721,1.07724,918,0,0
2024.02.16,17:50:00,1.07723,1.07762,1.07704,1.07729,965,0,0
2024.02.16,17:55:00,1.07728,1.07737,1.07705,1.07711,856,0,0
2024.02.16,18:00:00,1.07711,1.07724,1.07686,1.077,818,0,0
2024.02.16,18:05:00,1.07701,1.07712,1.07681,1.07706,943,0,0
2024.02.16,18:10:00,1.07707,1.07735,1.07702,1.07717,891,0,0
2024.02.16,18:15:00,1.07717,1.07745,1.07713,1.07728,686,0,0
2024.02.16,18:20:00,1.07728,1.07741,1.07725,1.07737,465,0,0
2024.02.16,18:25:00,1.07738,1.07754,1.07727,1.0773,592,0,0
2024.02.16,18:30:00,1.07729,1.07733,1.07712,1.07728,1158,0,0
2024.02.16,18:35:00,1.07729,1.07741,1.07705,1.07733,700,0,0
2024.02.16,18:40:00,1.07734,1.07741,1.07706,1.07713,952,0,0
2024.02.16,18:45:00,1.07712,1.07723,1.07686,1.07688,716,0,0
2024.02.16,18:50:00,1.07689,1.07697,1.07658,1.07665,1032,0,0
2024.02.16,18:55:00,1.07664,1.07691,1.07655,1.07684,590,0,0
2024.02.16,19:00:00,1.07683,1.07695,1.07667,1.07682,561,0,2
2024.02.16,19:05:00,1.07681,1.07684,1.0766,1.0766,423,0,2
2024.02.16,19:10:00,1.07662,1.0767,1.07648,1.07668,429,0,2
2024.02.16,19:15:00,1.07669,1.07674,1.07656,1.07664,357,0,2
2024.02.16,19:20:00,1.07665,1.07668,1.07624,1.07644,554,0,2
2024.02.16,19:25:00,1.07643,1.07664,1.07627,1.07662,447,0,2
2024.02.16,19:30:00,1.07661,1.07671,1.07655,1.07658,449,0,2
